id;category;difficulty;question;correct;wrong1;wrong2;wrong3;wrong4;wrong5;wrong6;wrong7;wrong8;wrong9;wrong10;wrong11;explanation
q18;Livres;hard;Qui est l'auteur du livre 'Histoire de la Magie' ?;Bathilda Tourdesac;Adalbert Lasornette;Phyllida Spore;Newt Scamander;Gilderoy Lockhart;Arsenius Jigger;Miranda Goshawk;Quentin Trimble;Kennilworthy Whisp;Beedle le Barde;Wilbert Slinkhard;Rita Skeeter;Bathilda était une amie proche de la famille Dumbledore.
q19;Objets;hard;Quelle est la matière de la baguette de Drago Malefoy ?;Aubépine;If;Sureau;Vigne;Noyer;Cormier;Chêne;Houx;Érable;Frêne;Sapin;Bouleau;Sa baguette contient un poil de licorne et mesure exactement 25 cm.
q20;Académie;hard;Quel est le mot de passe du bureau de Dumbledore dans le tome 2 ?;Sorbet Citron;Nid de Cafard;Chocogrenouille;Sucrefilé;Plume en sucre;Berlingot;Réglisse;Fondant;Caramel;Dragée;Nougat;Guimauve;Dumbledore utilise toujours des noms de sucreries pour ses mots de passe.
q21;Personnages;easy;Comment s'appelle le meilleur ami de Harry ?;Ron Weasley;Drago Malefoy;Neville Londubat;Cedric Diggory;Seamus Finnigan;Dean Thomas;Blaise Zabini;Vincent Crabbe;Gregory Goyle;Dudley Dursley;Argus Rusard;Dobby;Ron est son premier ami rencontré dans le train.
q22;Lieux;easy;Dans quelle maison Harry est-il envoyé par le Choixpeau ?;Gryffondor;Serpentard;Poufsouffle;Serdaigle;Cuisine;Cachot;Infirmerie;Forêt;Bibliothèque;Boucherie;Boulangerie;Jardin;Le Choixpeau l'envoie là où se trouvent les courageux.
q23;Sport;easy;Comment s'appelle le sport pratiqué sur des balais ?;Quidditch;Rugby volant;Broomball;Voltige;Lutte aérienne;Foot-balai;Vif-Ball;Souaffle-Poursuite;Cogne-Dur;Balai-Polo;Aéro-Basket;Vroom;C'est le sport le plus populaire du monde des sorciers.
q24;Créatures;easy;Quel animal est Hedwige ?;Chouette;Chat;Rat;Crapaud;Chien;Furet;Hamster;Lapin;Lézard;Basilic;Phénix;Dragon;C'est une chouette harfang des neiges offerte par Hagrid.
q25;Objets;easy;Quelle forme a la cicatrice de Harry sur le front ?;Éclair;Étoile;Lune;Cercle;Croix;Carré;Triangle;Cœur;Nuage;Spirale;Point d'interrogation;Losange;Elle est le résultat du sortilège de mort de Voldemort.
q26;Lieux;easy;Comment s'appelle l'école de magie de Harry ?;Poudlard;Beauxbâtons;Durmstrang;Ilvermorny;Poudlard Express;Saint-Mangouste;Gringotts;Ministère;Azur;Solaris;Luna;Étoile;L'école est située dans un château en Écosse.
q27;Personnages;easy;Qui est le directeur de Poudlard au début ?;Albus Dumbledore;Severus Rogue;Minerva McGonagall;Rubeus Hagrid;Gilderoy Lockhart;Filius Flitwick;Pomona Chourave;Quirinus Quirrell;Sybille Trelawney;Horace Slughorn;Dolores Ombrage;Lucius Malefoy;Il est considéré comme le plus grand sorcier.
q28;Transports;easy;À quel quai prend-on le train pour Poudlard ?;9 3/4;7 1/2;10;4;5 1/4;1;2;3;6;8;11;12;Le quai se situe à la gare de King's Cross.
q29;Objets;easy;De quelle couleur sont les yeux de Harry ?;Vert;Bleu;Marron;Gris;Noir;Rouge;Jaune;Violet;Rose;Orange;Blanc;Argent;Dans les livres, il est précisé qu'il a les yeux de sa mère.
q30;Personnages;easy;Qui est le parrain de Harry Potter ?;Sirius Black;Remus Lupin;Severus Rogue;Arthur Weasley;Lucius Malefoy;James Potter;Peter Pettigrow;Vernon Dursley;Cornelius Fudge;Igor Karkaroff;Xenophilius Lovegood;Viktor Krum;Sirius était le meilleur ami de James Potter.
q31;Sortilèges;easy;Quel sort sert à ouvrir les portes verrouillées ?;Alohomora;Lumos;Expelliarmus;Wingardium Leviosa;Stupefix;Accio;Imperium;Crucio;Sectumsempra;Avada Kedavra;Silencio;Aguamenti;Hermione l'utilise pour ouvrir la porte du couloir du troisième étage.
q32;Créatures;easy;Quel est l'animal de compagnie de Ron au début ?;Un rat;Un crapaud;Un chat;Une chouette;Une araignée;Un serpent;Un dragon;Un hippogriffe;Un loup;Un singe;Un poisson;Une souris;Il s'appelle Croûtard et appartenait autrefois à son frère Percy.
q33;Lieux;easy;Où Harry vit-il chez les Dursley au tout début ?;Sous l'escalier;Dans le grenier;Dans une cabane;À l'hôtel;Dans une cave;Dans le garage;Dans la cuisine;Dans le jardin;Sur le toit;Dans la remise;Dans la baignoire;Dans le salon;Il dormait dans un placard étroit avant d'avoir la deuxième chambre de Dudley.
q34;Personnages;easy;Quel professeur enseigne les Potions au début ?;Severus Rogue;Minerva McGonagall;Filius Flitwick;Pomona Chourave;Albus Dumbledore;Rubeus Hagrid;Sybil Trelawney;Rolanda Bibine;Cuthbert Binns;Gilderoy Lockhart;Quirinus Quirrell;Remus Lupin;Rogue est le directeur de la maison des Serpentard.
q35;Sortilèges;easy;Quel sort fait jaillir de la lumière de la baguette ?;Lumos;Nox;Accio;Incendio;Revelio;Aguamenti;Alohomora;Finite;Lidius;Flash;Solar;Lumi;Nox est la formule utilisée pour éteindre cette lumière.
q36;Lieux;easy;Comment s'appelle la rue commerçante magique à Londres ?;Chemin de Traverse;Allée des Embrumes;Pré-au-Lard;Grimmauld Place;Privet Drive;Magnolia Road;Wisteria Walk;Spinner's End;Budleigh Salterton;Ottery St Catchpole;Little Whinging;Oxford Street;On y accède en tapotant des briques derrière le Chaudron Baveur.
q37;Objets;easy;Comment s'appelle la carte qui montre tout le château ?;Carte du Maraudeur;Carte de Poudlard;Carte Mystère;Plan Magique;Carte de l'Invisible;Carte d'Harry;Carte de l'École;Plan Secret;Carte des Pas;Carte de l'Ombre;Parchemin Magique;Carte d'Or;Elle s'active avec la phrase 'Je jure solennellement que mes intentions sont mauvaises'.
q38;Créatures;easy;Quel est le métier de Hagrid à Poudlard ?;Garde-chasse;Directeur;Professeur de potions;Elfe de maison;Gobelin;Concierge;Préfet;Infirmier;Bibliothécaire;Comptable;Cuisinier;Jardinier;Hagrid vit dans une petite cabane en bois à l'extérieur du château.
q39;Objets;easy;Quel est le nom du train qui mène à l'école ?;Poudlard Express;Magicobus;Éclair de Feu;Nimbus 2000;Poudlard Train;Vitesse Magique;Train Rouge;Express 934;Vapeur Sorcière;Rail Magique;Navette de l'École;Le Rapide;Il part précisément à 11 heures du matin le 1er septembre.
q40;Personnages;easy;Comment s'appelle l'ennemi juré de Harry ?;Voldemort;Drago;Rogue;Dumbledore;Neville;Seamus;Dean;Cedric;Viktor;Arthur;Lucius;Percy;Il est celui qui a tué les parents de Harry et marqué son front.
